Store,Dept,Year,Month,Weekly_Sales
1,1,2010,2,32990.770000000004
1,1,2010,3,22809.285
1,1,2010,4,30103.352000000003
1,1,2010,5,16673.5375
1,1,2010,6,16685.175
1,1,2010,7,16383.001999999999
1,1,2010,8,16144.7025
1,1,2010,9,17978.3175
1,1,2010,10,26928.906
1,1,2010,11,23040.35
1,1,2010,12,34796.776
1,1,2011,1,17286.6475
1,1,2011,2,31440.6575
1,1,2011,3,20705.835
1,1,2011,4,33011.39
1,1,2011,5,17062.93
1,1,2011,6,15744.6425
1,1,2011,7,15771.246
1,1,2011,8,14765.4875
1,1,2011,9,17551.282
1,1,2011,10,24701.7075
1,1,2011,11,24634.3775
1,1,2011,12,34902.414000000004
1,1,2012,1,17551.3375
1,1,2012,2,33670.825
1,1,2012,3,22936.108
1,1,2012,4,31400.03
1,1,2012,5,17698.245
1,1,2012,6,16729.307999999997
1,1,2012,7,16617.1975
1,1,2012,8,16609.114
1,1,2012,9,19034.475
1,1,2012,10,24061.14
1,2,2010,2,46877.4425
1,2,2010,3,44414.490000000005
1,2,2010,4,45882.932
1,2,2010,5,45129.3225
1,2,2010,6,46393.16
1,2,2010,7,45753.228
1,2,2010,8,48721.28
1,2,2010,9,45339.17
1,2,2010,10,44356.032
1,2,2010,11,44175.2875
1,2,2010,12,47274.653999999995
1,2,2011,1,41576.9225
1,2,2011,2,47447.945
1,2,2011,3,47754.275
1,2,2011,4,46037.016
1,2,2011,5,45947.0725
1,2,2011,6,44890.909999999996
1,2,2011,7,44287.302
1,2,2011,8,47188.18
1,2,2011,9,45027.118
1,2,2011,10,44339.285
1,2,2011,11,45126.865
1,2,2011,12,51115.658
1,2,2012,1,43286.0325
1,2,2012,2,49517.2225
1,2,2012,3,47968.846000000005
1,2,2012,4,46703.785
1,2,2012,5,46861.840000000004
1,2,2012,6,47441.297999999995
1,2,2012,7,46075.0775
1,2,2012,8,47694.592
1,2,2012,9,45290.985
1,2,2012,10,44044.8375
1,3,2010,2,11821.65
1,3,2010,3,10441.8125
1,3,2010,4,9753.908
1,3,2010,5,8379.814999999999
1,3,2010,6,7634.11
1,3,2010,7,13513.684
1,3,2010,8,37405.165
1,3,2010,9,12509.217499999999
1,3,2010,10,9498.039999999999
1,3,2010,11,9720.2275
1,3,2010,12,10881.994
1,3,2011,1,13400.075
1,3,2011,2,11159.8825
1,3,2011,3,9731.7
1,3,2011,4,8897.366
1,3,2011,5,8803.2725
1,3,2011,6,7546.7699999999995
1,3,2011,7,12883.251999999999
1,3,2011,8,38694.135
1,3,2011,9,12597.204000000002
1,3,2011,10,9851.54
1,3,2011,11,9642.69
1,3,2011,12,11759.692
1,3,2012,1,12515.945
1,3,2012,2,11403.7025
1,3,2012,3,9839.64
1,3,2012,4,8636.4875
1,3,2012,5,9488.305
1,3,2012,6,7737.134
1,3,2012,7,16110.877499999999
1,3,2012,8,36981.808000000005
1,3,2012,9,14786.5775
1,3,2012,10,10015.98
1,4,2010,2,36698.09
1,4,2010,3,34686.26
1,4,2010,4,35193.724
1,4,2010,5,35694.4675
1,4,2010,6,36660.59
1,4,2010,7,37566.842
1,4,2010,8,38386.56
1,4,2010,9,35355.525
1,4,2010,10,34696.648
1,4,2010,11,39067.115
1,4,2010,12,39487.26
1,4,2011,1,34745.8025
1,4,2011,2,35850.0625
1,4,2011,3,35712.3075
1,4,2011,4,34818.89599999999
1,4,2011,5,35556.9075
1,4,2011,6,37117.3175
1,4,2011,7,35943.604
1,4,2011,8,38358.275
1,4,2011,9,34257.806
1,4,2011,10,35149.935
1,4,2011,11,40100.52
1,4,2011,12,40128.512
1,4,2012,1,36225.5575
1,4,2012,2,37771.0675
1,4,2012,3,37965.020000000004
1,4,2012,4,38188.51
1,4,2012,5,37636.06
1,4,2012,6,39773.928
1,4,2012,7,39072.1275
1,4,2012,8,38846.552
1,4,2012,9,35937.0
1,4,2012,10,36649.975
1,5,2010,2,28105.0875
1,5,2010,3,26546.379999999997
1,5,2010,4,21365.006
1,5,2010,5,17023.4675
1,5,2010,6,20895.66
1,5,2010,7,18168.282
1,5,2010,8,15363.3875
1,5,2010,9,16517.2675
1,5,2010,10,19916.262
1,5,2010,11,35619.5125
1,5,2010,12,52707.116
1,5,2011,1,20175.4575
1,5,2011,2,30727.8
1,5,2011,3,23502.9125
1,5,2011,4,21600.18
1,5,2011,5,15993.1375
1,5,2011,6,18763.572500000002
1,5,2011,7,18482.464
1,5,2011,8,19156.53
1,5,2011,9,19168.532
1,5,2011,10,28090.52
1,5,2011,11,42409.56
1,5,2011,12,42859.936
1,5,2012,1,20765.565
1,5,2012,2,35855.3275
1,5,2012,3,26662.935999999998
1,5,2012,4,20165.135000000002
1,5,2012,5,18203.025
1,5,2012,6,21586.802000000003
1,5,2012,7,17443.9875
1,5,2012,8,18470.075999999997
1,5,2012,9,21491.21
1,5,2012,10,23172.4025
1,6,2010,2,6547.2125
1,6,2010,3,5553.6575
1,6,2010,4,4452.706
1,6,2010,5,6005.3025
1,6,2010,6,4427.075
1,6,2010,7,4798.37
1,6,2010,8,4010.5075
1,6,2010,9,4270.1775
1,6,2010,10,4356.826
1,6,2010,11,8239.1675
1,6,2010,12,11850.18
1,6,2011,1,2274.1325
1,6,2011,2,4026.265
1,6,2011,3,3802.295
1,6,2011,4,3536.148
1,6,2011,5,5397.29
1,6,2011,6,3281.59
1,6,2011,7,3423.954
1,6,2011,8,3250.65
1,6,2011,9,4324.647999999999
1,6,2011,10,5080.4275
1,6,2011,11,7755.365
1,6,2011,12,9507.630000000001
1,6,2012,1,2550.7575
1,6,2012,2,4831.8550000000005
1,6,2012,3,4390.128
1,6,2012,4,3893.2075
1,6,2012,5,4848.77
1,6,2012,6,4374.12
1,6,2012,7,2911.795
1,6,2012,8,2322.3599999999997
1,6,2012,9,3244.535
1,6,2012,10,3790.2675
1,7,2010,2,19150.9525
1,7,2010,3,20038.66
1,7,2010,4,20706.48
1,7,2010,5,26216.855
1,7,2010,6,31842.6425
1,7,2010,7,21152.29
1,7,2010,8,18788.02
1,7,2010,9,18613.635000000002
1,7,2010,10,16424.73
1,7,2010,11,34276.265
1,7,2010,12,80326.524
1,7,2011,1,13726.2375
1,7,2011,2,21692.4575
1,7,2011,3,20655.432500000003
1,7,2011,4,21851.688000000002
1,7,2011,5,21565.6625
1,7,2011,6,33062.6475
1,7,2011,7,18261.506
1,7,2011,8,14251.635
1,7,2011,9,14325.84
1,7,2011,10,19537.5975
1,7,2011,11,35807.4525
1,7,2011,12,61579.792
1,7,2012,1,10747.532500000001
1,7,2012,2,17745.5625
1,7,2012,3,17795.35
1,7,2012,4,21558.79
1,7,2012,5,23461.43
1,7,2012,6,27345.041999999998
1,7,2012,7,19872.894999999997
1,7,2012,8,16137.544
1,7,2012,9,19338.23
1,7,2012,10,21417.85
1,8,2010,2,37874.91
1,8,2010,3,35222.2425
1,8,2010,4,34460.488
1,8,2010,5,34503.575
1,8,2010,6,34084.18
1,8,2010,7,34278.258
1,8,2010,8,32670.392499999998
1,8,2010,9,33361.215
1,8,2010,10,34390.022
1,8,2010,11,35392.2525
1,8,2010,12,36597.623999999996
1,8,2011,1,35121.4775
1,8,2011,2,36374.1275
1,8,2011,3,34161.38
1,8,2011,4,33528.966
1,8,2011,5,35922.735
1,8,2011,6,35304.832500000004
1,8,2011,7,33793.984000000004
1,8,2011,8,32980.4575
1,8,2011,9,34312.020000000004
1,8,2011,10,34488.1925
1,8,2011,11,34344.1
1,8,2011,12,36948.979999999996
1,8,2012,1,35207.815
1,8,2012,2,38209.2025
1,8,2012,3,36901.288
1,8,2012,4,38668.8875
1,8,2012,5,39043.97
1,8,2012,6,38956.21
1,8,2012,7,38108.4725
1,8,2012,8,37037.028
1,8,2012,9,37418.1275
1,8,2012,10,39459.08
1,9,2010,2,16137.462500000001
1,9,2010,3,27734.06
1,9,2010,4,25806.206
1,9,2010,5,27645.875
1,9,2010,6,28138.8775
1,9,2010,7,21092.620000000003
1,9,2010,8,19708.067499999997
1,9,2010,9,33962.575
1,9,2010,10,34947.270000000004
1,9,2010,11,39506.8975
1,9,2010,12,29499.232
1,9,2011,1,13479.1875
1,9,2011,2,20330.8275
1,9,2011,3,31453.27
1,9,2011,4,27329.856
1,9,2011,5,24376.155
1,9,2011,6,26399.995
1,9,2011,7,20203.304
1,9,2011,8,19879.622499999998
1,9,2011,9,35294.518
1,9,2011,10,35027.067500000005
1,9,2011,11,39876.8025
1,9,2011,12,31070.670000000002
1,9,2012,1,16045.6625
1,9,2012,2,22559.6075
1,9,2012,3,36132.13
1,9,2012,4,33211.0225
1,9,2012,5,28773.68
1,9,2012,6,29777.688000000002
1,9,2012,7,24957.97
1,9,2012,8,27116.670000000002
1,9,2012,9,37351.625
1,9,2012,10,38824.3525
1,10,2010,2,29943.09
1,10,2010,3,31661.51
1,10,2010,4,31234.534000000003
1,10,2010,5,29140.85
1,10,2010,6,31555.5425
1,10,2010,7,30790.347999999998
1,10,2010,8,33222.8175
1,10,2010,9,31005.82
1,10,2010,10,28723.114
1,10,2010,11,28747.3675
1,10,2010,12,28165.402000000002
1,10,2011,1,24408.552499999998
1,10,2011,2,34128.5125
1,10,2011,3,36106.119999999995
1,10,2011,4,31620.532
1,10,2011,5,29143.3275
1,10,2011,6,32245.7725
1,10,2011,7,29915.971999999998
1,10,2011,8,30867.9525
1,10,2011,9,30501.629999999997
1,10,2011,10,29787.3525
1,10,2011,11,30706.585
1,10,2011,12,30230.341999999997
1,10,2012,1,25726.2675
1,10,2012,2,37301.4
1,10,2012,3,36868.882
1,10,2012,4,31661.8375
1,10,2012,5,33153.725
1,10,2012,6,34402.886
1,10,2012,7,32600.4075
1,10,2012,8,30545.420000000002
1,10,2012,9,29741.4675
1,10,2012,10,27838.4575
1,11,2010,2,20496.6875
1,11,2010,3,18569.4425
1,11,2010,4,20258.574
1,11,2010,5,26972.434999999998
1,11,2010,6,34334.5025
1,11,2010,7,27434.466000000004
1,11,2010,8,30152.7825
1,11,2010,9,16545.13
1,11,2010,10,17479.528
1,11,2010,11,25263.26
1,11,2010,12,28176.6
1,11,2011,1,24345.7725
1,11,2011,2,20136.637499999997
1,11,2011,3,21977.1875
1,11,2011,4,24687.852000000003
1,11,2011,5,23913.45
1,11,2011,6,37734.89
1,11,2011,7,33734.694
1,11,2011,8,23786.545
1,11,2011,9,19031.398
1,11,2011,10,20810.2175
1,11,2011,11,25185.0225
1,11,2011,12,31064.078
1,11,2012,1,22181.927499999998
1,11,2012,2,24095.68
1,11,2012,3,24175.859999999997
1,11,2012,4,23336.055
1,11,2012,5,27696.0675
1,11,2012,6,33406.371999999996
1,11,2012,7,30414.6325
1,11,2012,8,22750.739999999998
1,11,2012,9,18942.6675
1,11,2012,10,21222.73
1,12,2010,2,8821.24
1,12,2010,3,11852.0725
1,12,2010,4,11107.75
1,12,2010,5,11603.4725
1,12,2010,6,11610.005000000001
1,12,2010,7,11125.198
1,12,2010,8,11536.2975
1,12,2010,9,10410.8725
1,12,2010,10,10681.612
1,12,2010,11,9566.0675
1,12,2010,12,7323.388000000001
1,12,2011,1,7263.4725
1,12,2011,2,9546.442500000001
1,12,2011,3,13040.885
1,12,2011,4,12112.018
1,12,2011,5,12592.435
1,12,2011,6,11688.945
1,12,2011,7,11388.384
1,12,2011,8,10103.89
1,12,2011,9,9720.782000000001
1,12,2011,10,11315.5875
1,12,2011,11,9467.477499999999
1,12,2011,12,7879.418
1,12,2012,1,8317.970000000001
1,12,2012,2,9936.705
1,12,2012,3,11935.672
1,12,2012,4,11197.4625
1,12,2012,5,11676.4625
1,12,2012,6,10977.138
1,12,2012,7,11720.005000000001
1,12,2012,8,10933.173999999999
1,12,2012,9,10878.11
1,12,2012,10,9627.45
1,13,2010,2,38442.6725
1,13,2010,3,37123.99
1,13,2010,4,37036.306
1,13,2010,5,38382.67
1,13,2010,6,39727.11
1,13,2010,7,40198.54
1,13,2010,8,40648.1575
1,13,2010,9,40024.6825
1,13,2010,10,38767.522000000004
1,13,2010,11,38680.315
1,13,2010,12,35467.782
1,13,2011,1,36429.1975
1,13,2011,2,37597.935
1,13,2011,3,38382.82
1,13,2011,4,36149.368
1,13,2011,5,36994.96
1,13,2011,6,38575.3475
1,13,2011,7,37094.759999999995
1,13,2011,8,39349.4075
1,13,2011,9,38943.206
1,13,2011,10,38517.985
1,13,2011,11,38716.7025
1,13,2011,12,35303.532
1,13,2012,1,37789.3925
1,13,2012,2,41305.725
1,13,2012,3,39877.678
1,13,2012,4,40486.9
1,13,2012,5,39713.9975
1,13,2012,6,40367.3
1,13,2012,7,39855.6925
1,13,2012,8,41756.096000000005
1,13,2012,9,40668.235
