Store,Date,Weekly_Sales
1,2010-02-05,22516.313698630136
1,2010-02-12,22804.964444444442
1,2010-02-19,22081.755753424655
1,2010-02-26,19579.54986111111
1,2010-03-05,21298.721643835615
1,2010-03-12,19719.74780821918
1,2010-03-19,20451.608194444445
1,2010-03-26,19505.97111111111
1,2010-04-02,22152.337222222224
1,2010-04-09,21170.11684931507
1,2010-04-16,20082.9901369863
1,2010-04-23,19323.001666666667
1,2010-04-30,20071.840985915493
1,2010-05-07,22277.154444444444
1,2010-05-14,20753.493055555555
1,2010-05-21,19995.17242857143
1,2010-05-28,20458.14214285714
1,2010-06-04,22753.869154929576
1,2010-06-11,21726.212535211267
1,2010-06-18,21786.725507246378
1,2010-06-25,20619.008695652174
1,2010-07-02,20444.084109589043
1,2010-07-09,21775.692676056336
1,2010-07-16,20699.127428571428
1,2010-07-23,19237.016666666666
1,2010-07-30,19055.369444444445
1,2010-08-06,22935.596857142857
1,2010-08-13,21242.785352112674
1,2010-08-20,21015.006805555557
1,2010-08-27,20702.041714285715
1,2010-09-03,21391.16013888889
1,2010-09-10,20936.954027777778
1,2010-09-17,19866.370416666665
1,2010-09-24,19039.31028169014
1,2010-10-01,19908.62328767123
1,2010-10-08,20660.820958904107
1,2010-10-15,19991.905479452056
1,2010-10-22,18430.87671232877
1,2010-10-29,19225.128055555557
1,2010-11-05,21550.823333333334
1,2010-11-12,20472.321780821916
1,2010-11-19,20608.113611111112
1,2010-11-26,27161.445972222224
1,2010-12-03,21803.29267605634
1,2010-12-10,23698.7923943662
1,2010-12-17,26264.374027777776
1,2010-12-24,33165.975000000006
1,2010-12-31,19258.028309859154
1,2011-01-07,20065.72611111111
1,2011-01-14,19591.745915492957
1,2011-01-21,18436.186388888887
1,2011-01-28,18547.877605633803
1,2011-02-04,22628.585633802817
1,2011-02-11,22911.31847222222
1,2011-02-18,23428.371944444443
1,2011-02-25,20233.337222222224
1,2011-03-04,22414.567260273972
1,2011-03-11,20989.07608108108
1,2011-03-18,21900.250833333335
1,2011-03-25,21705.667323943664
1,2011-04-01,21057.25
1,2011-04-08,22736.04718309859
1,2011-04-15,21970.267605633802
1,2011-04-22,21733.608472222222
1,2011-04-29,20787.009857142857
1,2011-05-06,22949.17295774648
1,2011-05-13,21983.227123287674
1,2011-05-20,19836.364861111113
1,2011-05-27,20648.544647887324
1,2011-06-03,23358.263
1,2011-06-10,22379.553802816903
1,2011-06-17,21279.373055555556
1,2011-06-24,20265.21338028169
1,2011-07-01,21573.01579710145
1,2011-07-08,21926.423428571426
1,2011-07-15,20787.42814285714
1,2011-07-22,20245.31623188406
1,2011-07-29,19597.388260869564
1,2011-08-05,22878.644366197183
1,2011-08-12,21480.944929577465
1,2011-08-19,21260.575416666667
1,2011-08-26,19793.154864864864
1,2011-09-02,21236.01671232877
1,2011-09-09,21395.43388888889
1,2011-09-16,21327.602535211267
1,2011-09-23,19166.948194444445
1,2011-09-30,19368.914305555558
1,2011-10-07,22652.638194444444
1,2011-10-14,20743.415694444444
1,2011-10-21,20868.9275
1,2011-10-28,20072.90402777778
1,2011-11-04,23572.633055555558
1,2011-11-11,22151.92902777778
1,2011-11-18,21381.718055555553
1,2011-11-25,27853.707671232874
1,2011-12-02,21699.7801369863
1,2011-12-09,24653.183287671232
1,2011-12-16,26127.45375
1,2011-12-23,30678.2295945946
1,2011-12-30,20513.187945205478
1,2012-01-06,21532.915555555555
1,2012-01-13,20557.76295774648
1,2012-01-20,19101.285479452057
1,2012-01-27,18847.50842857143
1,2012-02-03,22726.939583333333
1,2012-02-10,24691.471643835615
1,2012-02-17,24929.72602739726
1,2012-02-24,21380.38652777778
1,2012-03-02,23450.288333333334
1,2012-03-09,23597.621971830984
1,2012-03-16,23298.233055555556
1,2012-03-23,21282.64887323944
1,2012-03-30,23233.868028169014
1,2012-04-06,26384.401111111114
1,2012-04-13,22831.432394366195
1,2012-04-20,21430.67422535211
1,2012-04-27,20689.131971830986
1,2012-05-04,23725.63366197183
1,2012-05-11,22691.493661971832
1,2012-05-18,22798.598142857143
1,2012-05-25,21907.66971830986
1,2012-06-01,22879.965915492958
1,2012-06-08,23572.652222222223
1,2012-06-15,22966.295774647886
1,2012-06-22,21518.955070422537
1,2012-06-29,22324.949130434783
1,2012-07-06,25283.630857142856
1,2012-07-13,21507.24
1,2012-07-20,20804.92722222222
1,2012-07-27,19987.829305555555
1,2012-08-03,22973.743521126762
1,2012-08-10,22116.80513888889
1,2012-08-17,22192.611805555556
1,2012-08-24,21043.97718309859
1,2012-08-31,21973.380555555555
1,2012-09-07,22763.93602739726
1,2012-09-14,21075.400972222225
1,2012-09-21,21213.043098591552
1,2012-09-28,19685.743287671234
1,2012-10-05,23205.360694444444
1,2012-10-12,21548.942602739728
1,2012-10-19,21240.405211267607
1,2012-10-26,20745.274166666666
2,2010-02-05,29273.82821917808
2,2010-02-12,29691.79861111111
2,2010-02-19,29102.07589041096
2,2010-02-26,25549.277671232878
2,2010-03-05,27274.152465753425
2,2010-03-12,27645.608055555556
2,2010-03-19,26658.505205479454
2,2010-03-26,23975.312465753424
2,2010-04-02,28697.051666666666
2,2010-04-09,27148.46125
2,2010-04-16,26407.858309859155
2,2010-04-23,25661.84408450704
2,2010-04-30,25386.623802816903
2,2010-05-07,27980.571369863013
2,2010-05-14,26489.46985915493
2,2010-05-21,26717.423943661972
2,2010-05-28,27958.769857142855
2,2010-06-04,30036.284714285717
2,2010-06-11,28528.714929577465
2,2010-06-18,28594.813714285712
2,2010-06-25,27322.91676056338
2,2010-07-02,28224.516056338027
2,2010-07-09,27259.458260869564
2,2010-07-16,26751.881014492756
